location_id,facility_name,location_type,city,country,region,operating_status,opening_date
LOC_00001,North Judithbury Service Center,Service Center,North Judithbury,India,Latin America,Active,2022-03-24
LOC_00002,Lake Joyside Manufacturing Plant,Manufacturing Plant,Lake Joyside,United Kingdom,North America,Active,2021-06-24
LOC_00003,Johnsonland Warehouse,Warehouse,Johnsonland,Germany,Asia Pacific,Active,2022-03-15
LOC_00004,New Jamesside Headquarters,Headquarters,New Jamesside,Japan,Asia Pacific,Inactive,2023-04-22
LOC_00005,Lawrencetown Manufacturing Plant,Manufacturing Plant,Lawrencetown,Sweden,Europe,Active,2025-03-03
LOC_00006,Lake Roberto Manufacturing Plant,Manufacturing Plant,,United Kingdom,,Active,2022-07-12
LOC_00007,Port Matthew Manufacturing Plant,Manufacturing Plant,Port Matthew,Sweden,North America,Active,2021-07-06
LOC_00008,West Melanieview Manufacturing Plant,Manufacturing Plant,West Melanieview,Canada,Latin America,Active,2025-06-08
LOC_00009,Herrerafurt Warehouse,Warehouse,,France,Europe,Active,2021-06-08
LOC_00010,Mariastad Distribution Center,Distribution Center,Mariastad,India,Latin America,Active,2024-03-04
LOC_00011,North Donnaport Manufacturing Plant,Manufacturing Plant,North Donnaport,Germany,Asia Pacific,Active,2026-05-31
LOC_00012,Port Craig Service Center,Service Center,,Sweden,North America,Active,2022-07-12
LOC_00013,Franciscostad Headquarters,Headquarters,Franciscostad,United States,Europe,Active,2022-02-25
LOC_00014,Jacquelineland Manufacturing Plant,Manufacturing Plant,Jacquelineland,India,Latin America,Active,2024-05-06
LOC_00015,New Jessica Service Center,Service Center,New Jessica,India,Asia Pacific,Active,2021-11-24
LOC_00016,Nelsonside Manufacturing Plant,Manufacturing Plant,Nelsonside,Japan,Latin America,Active,2022-03-17
LOC_00017,Meganton Manufacturing Plant,Manufacturing Plant,Meganton,Canada,Latin America,Inactive,2022-04-05
LOC_00018,Port Leslieview Service Center,Service Center,Port Leslieview,Canada,Latin America,Active,2021-05-13
LOC_00019,Jasonfort Service Center,Service Center,Jasonfort,France,Asia Pacific,Active,2023-03-05
LOC_00020,Thomasberg Headquarters,Headquarters,Thomasberg,India,Latin America,Active,2022-05-10
LOC_00021,Juliechester Manufacturing Plant,Manufacturing Plant,Juliechester,Japan,North America,Active,2025-12-07
LOC_00022,Coxberg Manufacturing Plant,Manufacturing Plant,Coxberg,Canada,North America,Active,2023-10-20
LOC_00023,Port Brandonville Warehouse,Warehouse,Port Brandonville,United States,North America,Active,2021-11-03
LOC_00024,Port Erin Warehouse,Warehouse,Port Erin,India,North America,Active,2024-04-11
LOC_00025,Jamesmouth Warehouse,Warehouse,Jamesmouth,Japan,Asia Pacific,Active,2023-11-28
LOC_00026,Lake Jenniferside Warehouse,Warehouse,Lake Jenniferside,Germany,Asia Pacific,Active,2025-02-15
LOC_00027,Danielchester Manufacturing Plant,Manufacturing Plant,Danielchester,India,Europe,Active,2021-11-14
LOC_00028,Lake Nancyview Manufacturing Plant,Manufacturing Plant,Lake Nancyview,Japan,,Active,2026-05-04
LOC_00029,New Rita Manufacturing Plant,Manufacturing Plant,New Rita,India,Europe,Active,2025-10-13
LOC_00030,Meaganhaven Warehouse,Warehouse,Meaganhaven,Japan,Europe,Active,2024-05-06
LOC_00031,West Kathryn Warehouse,Warehouse,West Kathryn,United Kingdom,Asia Pacific,Active,2023-12-18
LOC_00032,New Mariotown Warehouse,Warehouse,New Mariotown,Canada,Asia Pacific,Active,2021-08-13
LOC_00033,Natashaport Distribution Center,Distribution Center,Natashaport,United States,Asia Pacific,Active,2022-04-26
LOC_00034,New Stacey Headquarters,Headquarters,New Stacey,United Kingdom,Asia Pacific,Active,2021-06-21
LOC_00035,Cabreraside Distribution Center,Distribution Center,Cabreraside,Sweden,North America,Inactive,2025-03-17
LOC_00036,Lake Thomas Distribution Center,Distribution Center,Lake Thomas,India,Asia Pacific,Active,2024-01-08
LOC_00037,Allisonchester Headquarters,Headquarters,Allisonchester,Sweden,North America,Active,2026-04-19
LOC_00038,Lake Larry Service Center,Service Center,Lake Larry,France,,Active,2026-06-20
LOC_00039,Samuelhaven Warehouse,Warehouse,,United States,North America,Active,2023-06-25
LOC_00040,East Caleb Warehouse,Warehouse,East Caleb,Sweden,Latin America,Active,2021-02-12
LOC_00041,New Jeffrey Warehouse,Warehouse,New Jeffrey,Canada,Asia Pacific,Active,2021-05-23
LOC_00042,East Carloston Manufacturing Plant,Manufacturing Plant,East Carloston,United States,North America,Active,2025-09-21
LOC_00043,New Johnfort Warehouse,Warehouse,New Johnfort,Sweden,North America,Active,2022-03-06
LOC_00044,Lake Selena Distribution Center,Distribution Center,,Japan,Asia Pacific,Active,2024-02-20
LOC_00045,Sanchezfort Manufacturing Plant,Manufacturing Plant,Sanchezfort,Germany,Europe,Inactive,2025-06-08
LOC_00046,North Collin Distribution Center,Distribution Center,North Collin,France,Latin America,Active,2023-05-15
LOC_00047,Jenkinston Service Center,Service Center,Jenkinston,United States,Europe,Inactive,2024-09-12
LOC_00048,North Richardmouth Distribution Center,Distribution Center,North Richardmouth,France,Asia Pacific,Active,2025-05-25
LOC_00049,East Jamesside Headquarters,Headquarters,East Jamesside,United States,Latin America,Active,2023-06-19
