product_id,product_name,category,supplier_id,unit_cost,unit_price,product_status,launch_date
PROD_000001,Sharable bifurcated algorithm,Healthcare Equipment,SUP_00861,958.0,2110.07,Active,2025-01-27
PROD_000002,Fully-configurable directional challenge,,SUP_00467,544.88,964.43,Active,2025-01-17
PROD_000003,Synergistic user-facing moratorium,Electronics,SUP_00662,329.24,699.54,Discontinued,2021-06-24
PROD_000004,Optimized 5thgeneration algorithm,Software,SUP_00192,4961.45,9841.53,Active,2021-07-07
PROD_000005,Focused motivating portal,Consumer Products,SUP_00748,164.16,305.08,Active,2021-02-23
PROD_000006,Exclusive transitional projection,Healthcare Equipment,SUP_00700,1863.49,3290.35,Inactive,2024-11-07
PROD_000007,Operative directional knowledge user,Electronics,SUP_00876,2595.46,5060.52,Active,2024-03-28
PROD_000008,Adaptive well-modulated workforce,Electronics,SUP_00647,894.09,1106.72,Discontinued,2021-11-17
PROD_000009,Optimized global focus group,Healthcare Equipment,SUP_00014,4051.57,6325.43,Active,2021-11-08
PROD_000010,Virtual global benchmark,Healthcare Equipment,SUP_00092,2228.75,2930.25,Active,2021-07-06
PROD_000011,Cross-platform heuristic hardware,Electronics,SUP_00206,1985.75,2772.14,Inactive,2024-04-26
PROD_000012,Balanced upward-trending knowledgebase,Automotive Parts,SUP_00390,1079.31,2068.38,Active,2023-12-12
PROD_000013,Multi-tiered attitude-oriented neural-net,Software,,2276.28,3832.01,Discontinued,2022-08-12
PROD_000014,Self-enabling regional hierarchy,Automotive Parts,SUP_00727,2628.13,6432.56,Inactive,2024-03-04
PROD_000015,Triple-buffered asymmetric analyzer,Consumer Products,,2721.48,5285.42,Discontinued,2024-08-19
PROD_000016,Visionary explicit artificial intelligence,Healthcare Equipment,SUP_00380,1416.2,2195.07,Active,2025-09-12
PROD_000017,Cross-platform homogeneous focus group,Industrial Equipment,SUP_00839,2145.84,3611.64,Active,2023-06-29
PROD_000018,Multi-lateral cohesive hub,Electronics,SUP_00499,3548.94,7574.0,Inactive,2022-12-14
PROD_000019,Synchronized encompassing standardization,Consumer Products,SUP_00490,1824.41,2383.45,Inactive,2026-02-22
PROD_000020,Stand-alone asynchronous portal,Healthcare Equipment,SUP_00930,522.28,862.08,Active,2024-06-27
PROD_000021,Public-key upward-trending encryption,Consumer Products,SUP_00099,2976.92,4527.52,Active,2021-11-24
PROD_000022,Multi-tiered encompassing productivity,Electronics,SUP_00613,4859.97,11158.65,Active,2024-10-12
PROD_000023,Face-to-face systemic Graphic Interface,Automotive Parts,SUP_00871,250.15,527.67,Active,2025-08-18
PROD_000024,Vision-oriented analyzing emulation,Unknown Category,SUP_00461,1048.51,2473.73,Active,2025-07-07
PROD_000025,Intuitive impactful flexibility,Consumer Products,SUP_00096,3492.8,4673.71,Active,2021-05-13
PROD_000026,Re-contextualized transitional functionalities,Electronics,SUP_00541,1182.55,1482.83,Active,2022-03-03
PROD_000027,Proactive hybrid project,Automotive Parts,SUP_00796,4652.0,10424.96,Active,2023-07-10
PROD_000028,Fundamental client-driven encryption,Automotive Parts,SUP_00796,4028.18,5646.98,Inactive,2025-02-03
PROD_000029,Public-key empowering synergy,Electronics,SUP_00640,4046.83,9549.4,Active,2024-03-18
PROD_000030,Reduced impactful hierarchy,Industrial Equipment,SUP_00385,1178.28,2034.41,Inactive,2022-03-16
